cycle,capacity_Ah
1,2.0353375910056
2,2.02514024603141
3,2.01332637134546
4,2.01328466554074
5,2.00052833762477
6,2.01389907599316
7,2.01310110562697
8,1.96878982627284
9,1.96816617643342
10,1.95723079175605
11,1.94559915141294
12,1.93475050448411
13,1.9232799539368
14,1.91188993094849
15,1.90106671419793
16,1.88919899480615
17,1.87827837224885
18,1.86756971615202
19,1.86758925744538
20,1.97962654825082
21,1.9575499080884
22,1.94581501707876
23,1.92424611216801
24,1.94598113314216
25,1.90140793055308
26,1.87867421368009
27,1.86830613282642
28,1.8560244070083
29,1.84519979618558
30,1.85722889088532
31,1.92477608890906
32,1.88223175260926
33,1.85527668788559
34,1.83925089171819
35,1.81853960739944
36,1.81347700595671
37,1.79710184503054
38,1.78100462941205
39,1.77101304226823
40,1.76047124481709
41,1.75029137880066
42,1.73949250377326
43,1.75467665536372
44,1.76593909418422
45,1.73378874196248
46,1.71332591204073
47,1.70240778136735
48,1.82371946178183
49,1.80812840503147
50,1.77576109450343
51,1.74474098418368
52,1.72920703413237
53,1.70810865525532
54,1.69759542374618
55,1.68206345240295
56,1.67147683222951
57,1.66075913870477
58,1.65112101503807
59,1.64013492561909
60,1.62919994161654
61,1.60884963029617
62,1.60352448989692
63,1.5989712144028
64,1.58762731235756
65,1.58297197446862
66,1.56713763671356
67,1.56134461397139
68,1.55117118927904
69,1.54067416062952
70,1.52531387446244
71,1.53015703180674
72,1.52465668344741
73,1.51454929866554
74,1.50939150460208
75,1.50399743330507
76,1.49352019180402
77,1.48763230244974
78,1.53028762144017
79,1.50407600883601
80,1.48875936087309
81,1.47827792855466
82,1.47845998221568
83,1.47321484489997
84,1.46751649350679
85,1.45162926575213
86,1.45192377209672
87,1.44714846947777
88,1.44685381056599
89,1.44167419302847
90,1.59358665931001
91,1.54639023769156
92,1.51470559175661
93,1.49897860833354
94,1.48311107454105
95,1.47296648254683
96,1.46276043960993
97,1.45183646810625
98,1.44686706440304
99,1.44138039942778
100,1.43121074496077
101,1.42602471795257
102,1.4204876499662
103,1.4207006230355
104,1.45225580433084
105,1.43155763277257
106,1.41501575115894
107,1.40973115065175
108,1.40491731812931
109,1.39516429657156
110,1.39453438326141
111,1.38931711793126
112,1.38383794723278
113,1.37368142381951
114,1.37860598918637
115,1.37376002991086
116,1.36825805839427
117,1.36330240373175
118,1.35809661401726
119,1.35326909099953
120,1.38416057382375
121,1.40514677906515
122,1.37871902262735
123,1.36826577831991
124,1.3573151296618
125,1.35249346388016
126,1.34740991516612
127,1.33700751308423
128,1.33123529667185
129,1.32593037817276
130,1.32157874386753
131,1.32122507406611
132,1.31564853018627
133,1.32090256975024
134,1.34743287672739
135,1.32601280723536
136,1.31011867848311
137,1.30521620229393
138,1.30040619513558
139,1.30023573584112
140,1.28950667224808
141,1.2792530573848
142,1.27920781717146
143,1.27403676090292
144,1.27412739230015
145,1.26376394264408
146,1.25813736889552
147,1.2532598640553
148,1.25323133154934
149,1.24808749603136
150,1.25343542849448
151,1.28980487732669
152,1.26354020217588
153,1.24797617068429
154,1.23212028779433
155,1.22711376662135
156,1.22173975813774
157,1.21110267891517
158,1.20561597651317
159,1.20089362627173
160,1.19059039855583
161,1.18517925104194
162,1.17967068181446
163,1.17459528367539
164,1.15381833159625
165,1.16440095573723
166,1.15879749479161
167,1.17497488347692
168,1.18567523279294
