cycle,capacity_Ah
1,1.85500452079108
2,1.84319553170899
3,1.83960184243554
4,1.8306736044962
5,1.83270020694196
6,1.82852888460463
7,1.82120118956979
8,1.81517001064332
9,1.80429805209676
10,1.82310023028442
11,1.81212535202554
12,1.80469163821177
13,1.79084434978629
14,1.78347072284192
15,1.78093861253107
16,1.77120903967269
17,1.7686303996707
18,1.75363048019171
19,1.7462197416415
20,1.73766473370537
21,1.73151667354758
22,1.70859498944706
23,1.71146995706821
24,1.70750213732726
25,1.74923820643602
26,1.73276971474299
27,1.72223133282923
28,1.71184629898472
29,1.69926783512668
30,1.69403664392431
31,1.6819027078768
32,1.67697706184336
33,1.66552293064789
34,1.6571924575832
35,1.6482241555294
36,1.63877014979872
37,1.6276486907262
38,1.62215370227252
39,1.61400665104675
40,1.67605161544246
41,1.64930064255219
42,1.63238299185809
43,1.61641597190257
44,1.61090283782493
45,1.59546386936956
46,1.72670744008576
47,1.71656739174297
48,1.69582355709348
49,1.67777831907925
50,1.66065868977741
51,1.66641092748274
52,1.64683361744078
53,1.62576399287799
54,1.61215774118746
55,1.60573668237553
56,1.67364531487988
57,1.64043485723499
58,1.6132653317422
59,1.59209643246862
60,1.58660118206988
61,1.58007664903362
62,1.56417329532891
63,1.55561827219392
64,1.54020452786374
65,1.53216130159598
66,1.53162324036934
67,1.52225959507719
68,1.50652671268512
69,1.50142195565329
70,1.49635341174864
71,1.53342620003124
72,1.52384526751442
73,1.50119209942612
74,1.49241767145029
75,1.48332385194012
76,1.48073767922942
77,1.47350778099024
78,1.46801928526661
79,1.4580923557119
80,1.44786609888914
81,1.45278087775419
82,1.44253563644924
83,1.43927128772033
84,1.42864756818882
85,1.42490267500049
86,1.46981153245241
87,1.45258196510502
88,1.44283419890879
89,1.42837605880794
90,1.41545478443707
91,1.4545766700777
92,1.4283179548274
93,1.4197026883204
94,1.41556066303065
95,1.40568003541922
96,1.40844610711661
97,1.39685477828724
98,1.39356703714406
99,1.38936442928094
100,1.37856514156667
101,1.38490111008574
102,1.37032518142424
103,1.3733464385229
104,1.36794872855048
105,1.35671410870896
106,1.46043102091945
107,1.45009989371041
108,1.43814069018245
109,1.42836819809643
110,1.41478745175524
111,1.41388916339318
112,1.39893316621772
113,1.39533225840339
114,1.39004612954024
115,1.38602714542096
116,1.38821526019375
117,1.37618265623945
118,1.36471688986401
119,1.35898547393735
120,1.34623087640088
121,1.42684278184546
122,1.40644814832796
123,1.39349074920751
124,1.38824935122493
125,1.37018783384209
126,1.37969516656086
127,1.36865863239356
128,1.36273717790964
129,1.3634051133928
130,1.35186460353052
131,1.35479697296526
132,1.34105144064048
